EVTYPE,CLEANEV
   HIGH SURF ADVISORY,HIGH SURF
 FLASH FLOOD,FLASH FLOOD
 TSTM WIND,THUNDERSTORM WIND
 TSTM WIND (G45),THUNDERSTORM WIND
?,OTHER
AGRICULTURAL FREEZE,FROST/FREEZE
APACHE COUNTY,OTHER
ASTRONOMICAL HIGH TIDE,COASTAL FLOOD
ASTRONOMICAL LOW TIDE,ASTRONOMICAL LOW TIDE
AVALANCE,AVALANCHE
AVALANCHE,AVALANCHE
Beach Erosion,COASTAL FLOOD
BLACK ICE,FROST/FREEZE
BLIZZARD,BLIZZARD
BLIZZARD/WINTER STORM,WINTER STORM
BLOWING DUST,OTHER
BLOWING SNOW,HEAVY SNOW
blowing snow,HEAVY SNOW
BREAKUP FLOODING,FLOOD
BRUSH FIRE,WILDFIRE
COASTAL  FLOODING/EROSION,COASTAL FLOOD
COASTAL EROSION,COASTAL FLOOD
COASTAL FLOOD,COASTAL FLOOD
Coastal Flood,COASTAL FLOOD
COASTAL FLOODING,COASTAL FLOOD
Coastal Flooding,COASTAL FLOOD
COASTAL FLOODING/EROSION,COASTAL FLOOD
COASTAL STORM,STORM SURGE/TIDE
Coastal Storm,STORM SURGE/TIDE
COASTAL SURGE,STORM SURGE/TIDE
COASTALSTORM,STORM SURGE/TIDE
COLD,EXTREME COLD/WIND CHILL
Cold,EXTREME COLD/WIND CHILL
COLD AIR TORNADO,TORNADO
COLD AND SNOW,WINTER WEATHER
COLD AND WET CONDITIONS,WINTER WEATHER
Cold Temperature,EXTREME COLD/WIND CHILL
COLD WAVE,EXTREME COLD/WIND CHILL
COLD WEATHER,EXTREME COLD/WIND CHILL
COLD/WIND CHILL,EXTREME COLD/WIND CHILL
COLD/WINDS,EXTREME COLD/WIND CHILL
COOL AND WET,WINTER WEATHER
DAM BREAK,FLOOD
DAMAGING FREEZE,FROST/FREEZE
Damaging Freeze,FROST/FREEZE
DENSE FOG,DENSE FOG
DENSE SMOKE,DENSE SMOKE
DOWNBURST,THUNDERSTORM WIND
DROUGHT,DROUGHT
DROUGHT/EXCESSIVE HEAT,DROUGHT
DROWNING,STORM SURGE/TIDE
DRY MICROBURST,DUST DEVIL
DRY MIRCOBURST WINDS,DUST DEVIL
DUST DEVIL,DUST DEVIL
Dust Devil,DUST DEVIL
DUST DEVIL WATERSPOUT,DUST DEVIL
DUST STORM,DUST STORM
DUST STORM/HIGH WINDS,DUST STORM
Early Frost,FROST/FREEZE
Erosion/Cstl Flood,COASTAL FLOOD
EXCESSIVE HEAT,EXCESSIVE HEAT
EXCESSIVE RAINFALL,HEAVY RAIN
EXCESSIVE SNOW,HEAVY SNOW
EXCESSIVE WETNESS,HEAVY RAIN
Extended Cold,EXTREME COLD/WIND CHILL
EXTREME COLD,EXTREME COLD/WIND CHILL
Extreme Cold,EXTREME COLD/WIND CHILL
EXTREME COLD/WIND CHILL,EXTREME COLD/WIND CHILL
EXTREME HEAT,EXCESSIVE HEAT
EXTREME WIND CHILL,EXTREME COLD/WIND CHILL
EXTREME WINDCHILL,EXTREME COLD/WIND CHILL
FALLING SNOW/ICE,FROST/FREEZE
FLASH FLOOD,FLASH FLOOD
FLASH FLOOD - HEAVY RAIN,FLASH FLOOD
FLASH FLOOD FROM ICE JAMS,FLASH FLOOD
FLASH FLOOD LANDSLIDES,FLASH FLOOD
FLASH FLOOD WINDS,FLASH FLOOD
FLASH FLOOD/,FLASH FLOOD
FLASH FLOOD/ STREET,FLASH FLOOD
FLASH FLOOD/FLOOD,FLASH FLOOD
FLASH FLOOD/LANDSLIDE,FLASH FLOOD
FLASH FLOODING,FLASH FLOOD
FLASH FLOODING/FLOOD,FLASH FLOOD
FLASH FLOODING/THUNDERSTORM WI,FLASH FLOOD
FLASH FLOODS,FLASH FLOOD
FLOOD,FLOOD
FLOOD & HEAVY RAIN,FLOOD
FLOOD FLASH,FLASH FLOOD
FLOOD/FLASH,FLASH FLOOD
FLOOD/FLASH FLOOD,FLASH FLOOD
FLOOD/FLASH/FLOOD,FLASH FLOOD
FLOOD/FLASHFLOOD,FLASH FLOOD
FLOOD/RAIN/WINDS,FLOOD
FLOOD/RIVER FLOOD,FLOOD
FLOODING,FLOOD
FLOODING/HEAVY RAIN,FLOOD
FLOODS,FLOOD
FOG,DENSE FOG
FOG AND COLD TEMPERATURES,DENSE FOG
FOREST FIRES,WILDFIRE
FREEZE,FROST/FREEZE
Freeze,FROST/FREEZE
FREEZING DRIZZLE,SLEET
Freezing Drizzle,SLEET
Freezing drizzle,SLEET
FREEZING FOG,DENSE FOG
FREEZING RAIN,SLEET
Freezing Rain,SLEET
FREEZING RAIN/SLEET,SLEET
FREEZING RAIN/SNOW,SLEET
Freezing Spray,SLEET
FROST,FROST/FREEZE
Frost/Freeze,FROST/FREEZE
FROST/FREEZE,FROST/FREEZE
FROST\FREEZE,FROST/FREEZE
FUNNEL CLOUD,FUNNEL CLOUD
GLAZE,FROST/FREEZE
Glaze,FROST/FREEZE
GLAZE ICE,FROST/FREEZE
GLAZE/ICE STORM,FROST/FREEZE
GRADIENT WIND,STRONG WIND
gradient wind,STRONG WIND
